???Sammakorn PCL (SAMCO) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.21,2.20,1.18,1.90,"7,287,914"
12/31/2020,1.71,1.72,1.08,1.21,???
12/31/2019,1.68,1.88,1.54,1.71,???
12/31/2018,2.82,3.16,1.66,1.68,???
12/29/2017,3.09,3.71,2.76,2.82,"795,479"
12/30/2016,3.31,3.95,2.26,3.09,"3,087,701"
12/31/2015,2.66,7.48,2.55,3.31,"10,464,758"
12/31/2014,2.42,4.02,2.13,2.66,"207,802"
12/31/2013,2.26,3.60,2.09,2.42,"300,708"
12/31/2012,1.73,2.35,1.66,2.26,"352,502"
12/30/2011,1.95,2.11,1.62,1.73,"252,357"
