???Samart Telcoms PCL (SAMTEL) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,5.00,8.15,4.98,7.35,"764,990"
12/31/2020,7.95,8.10,4.80,5.00,???
12/31/2019,7.40,13.50,6.60,7.95,???
12/31/2018,12.70,13.10,6.00,7.40,???
12/29/2017,9.95,16.80,9.95,12.70,"693,114"
12/30/2016,14.70,16.90,9.80,9.95,"377,129"
12/31/2015,22.70,29.25,13.90,14.70,"1,077,211"
12/31/2014,12.90,24.90,11.50,22.70,"1,338,590"
12/31/2013,19.60,29.50,12.40,12.90,"1,735,444"
12/31/2012,11.30,20.00,11.10,19.60,"3,006,239"
12/30/2011,12.60,14.20,9.30,11.30,"3,309,887"
