???Sanko Diecasting (Thailand) PCL (SANKO) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.93,1.46,0.90,1.22,"1,847,888"
12/31/2020,0.83,1.04,0.77,0.93,???
12/31/2019,1.10,1.22,0.82,0.83,???
12/31/2018,1.19,1.58,1.07,1.10,???
12/29/2017,1.70,1.92,1.18,1.19,"2,046,245"
12/30/2016,2.30,2.34,1.25,1.70,"2,096,432"
12/31/2015,1.06,2.72,1.05,2.30,"10,168,617"
12/31/2014,0.90,1.78,0.75,1.06,"3,989,386"
12/31/2013,3.15,3.27,0.81,0.90,"2,264,651"
05/09/2013,3.15,3.27,2.33,2.40,"275,332,099"
