???Somboon Advance Technology PCL (SAT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,16.40,21.80,15.70,21.10,"3,422,390"
12/31/2020,15.60,17.30,7.30,16.40,???
12/31/2019,15.30,20.50,14.60,15.60,???
12/31/2018,21.80,24.70,15.20,15.30,???
12/29/2017,14.70,24.90,14.60,21.80,"1,147,163"
12/30/2016,16.30,16.30,11.30,14.70,"647,854"
12/31/2015,16.20,25.00,13.80,16.30,"412,632"
12/31/2014,14.40,19.60,13.20,16.20,"1,076,896"
12/31/2013,24.40,35.00,13.80,14.40,"2,253,472"
12/31/2012,16.80,25.60,16.80,24.40,"1,806,068"
12/30/2011,23.80,24.20,12.48,16.80,"1,751,271"
