???Thaitheparos PCL (SAUCE) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,25.25,29.75,25.00,29.25,"12,214"
12/31/2020,23.90,26.00,20.50,25.25,???
12/31/2019,22.00,24.00,21.60,23.90,???
12/31/2018,22.80,23.10,21.10,22.00,???
12/29/2017,23.80,25.50,22.50,22.80,"12,027"
12/30/2016,24.00,25.75,22.20,23.80,"5,338"
12/31/2015,25.00,26.25,23.00,24.00,"4,025"
12/31/2014,23.90,32.50,23.30,25.00,"12,702"
12/31/2013,33.00,35.00,23.60,23.90,"22,066"
12/31/2012,22.40,35.25,22.00,33.00,"45,762"
12/30/2011,17.40,25.25,17.35,22.40,"8,280"
