???The Siam Commercial Bank PCL (SCB) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,87.50,114.00,84.00,105.00,"12,176,362"
12/31/2020,122.00,122.50,58.00,87.50,???
12/31/2019,133.50,146.50,104.50,122.00,???
12/31/2018,150.00,162.50,117.00,133.50,???
12/29/2017,152.50,165.50,140.00,150.00,"6,547,813"
12/30/2016,119.50,166.00,112.00,152.50,"8,659,426"
12/31/2015,182.00,189.00,118.50,119.50,"5,361,482"
12/31/2014,143.50,199.00,130.50,182.00,"5,829,252"
12/31/2013,181.50,199.50,134.00,143.50,"7,431,352"
12/31/2012,116.50,182.00,109.00,181.50,"5,963,793"
12/30/2011,105.00,128.50,92.00,116.50,"10,328,047"
