???Southern Concrete Pile PCL (SCP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,6.10,7.35,5.60,6.55,"591,941"
12/31/2020,5.90,6.60,4.00,6.10,???
12/31/2019,8.50,9.00,5.75,5.90,???
12/31/2018,8.90,9.80,7.40,8.50,???
12/29/2017,8.95,10.50,7.80,8.90,"435,976"
12/30/2016,8.10,9.55,6.95,8.95,"431,046"
12/31/2015,9.90,12.30,7.85,8.10,"777,601"
12/31/2014,7.90,13.40,7.10,9.90,"3,097,134"
12/31/2013,5.18,12.10,5.18,7.90,"3,966,690"
12/31/2012,1.60,5.95,1.51,5.18,"7,771,073"
12/30/2011,1.22,1.96,1.01,1.60,"3,347,016"
