???Samart Digital PCL (SDC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.31,0.51,0.20,0.45,"7,738,875"
12/31/2020,0.19,0.35,0.07,0.31,???
12/31/2019,0.32,0.48,0.18,0.19,???
12/31/2018,0.62,0.62,0.19,0.32,???
12/29/2017,0.75,1.00,0.54,0.62,"4,979,921"
12/30/2016,1.05,1.11,0.62,0.75,"16,013,579"
12/31/2015,2.62,2.75,0.77,1.05,"10,010,794"
12/31/2014,2.56,3.15,2.12,2.62,"33,058,672"
12/31/2013,1.72,3.50,1.62,2.56,"29,218,996"
12/31/2012,1.59,1.92,1.49,1.72,"1,895,733"
12/30/2011,1.50,1.72,1.39,1.59,"877,664"
