???Se-Education PLC (SE-ED) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.52,2.46,1.38,2.00,"133,937"
12/31/2020,1.95,1.95,1.28,1.52,???
12/31/2019,3.06,3.60,1.12,1.95,???
12/31/2018,3.54,4.08,2.66,3.06,???
12/29/2017,4.26,4.80,3.44,3.54,"108,016"
12/30/2016,5.30,5.35,3.78,4.26,"163,385"
12/31/2015,5.05,7.40,5.00,5.30,"160,224"
12/31/2014,4.62,5.40,4.24,5.05,"400,910"
12/31/2013,8.82,9.36,4.00,4.62,"458,122"
12/31/2012,8.60,12.18,8.18,8.82,"294,519"
12/30/2011,8.76,9.26,7.64,8.60,"750,981"
