???Siam Future Development PCL (SF) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,5.00,8.40,4.62,7.95,"3,585,102"
12/31/2020,5.30,5.85,3.36,5.00,???
12/31/2019,6.13,6.95,5.15,5.30,???
12/31/2018,6.50,8.21,6.00,6.13,???
12/29/2017,5.13,7.46,4.83,6.50,"3,986,177"
12/30/2016,5.21,5.42,4.25,5.13,"2,893,573"
12/31/2015,4.34,6.01,4.17,5.21,"7,224,681"
12/31/2014,3.49,5.52,3.09,4.34,"8,183,034"
12/31/2013,3.87,7.35,3.49,3.49,"17,301,330"
12/31/2012,3.07,5.35,3.07,3.87,"9,935,206"
12/30/2011,2.80,3.63,2.44,3.07,"8,320,708"
