???Siam Food Products PCL (SFP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,127.00,131.00,98.00,100.00,"0,475"
12/31/2020,169.00,169.00,120.00,127.00,"0,044"
12/31/2019,178.00,187.00,159.00,169.00,"0,019"
12/31/2018,234.00,239.00,178.00,178.00,"0,105"
12/29/2017,197.00,253.00,181.00,234.00,"0,110"
12/30/2016,240.00,247.00,166.00,197.00,"0,198"
12/31/2015,267.00,305.00,200.00,240.00,"0,122"
12/31/2014,180.00,326.00,160.00,267.00,"16,913"
12/31/2013,234.00,410.00,168.00,180.00,"0,545"
12/31/2012,60.00,502.00,60.00,234.00,"0,940"
12/30/2011,80.00,80.00,52.50,60.00,"7,418"
