???Siamgas And Petrochemicals PCL (SGP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,10.00,12.70,9.95,11.90,"3,741,991"
12/31/2020,9.70,11.20,5.00,10.00,???
12/31/2019,8.50,11.40,7.60,9.70,???
12/31/2018,12.15,16.38,7.85,8.50,???
12/29/2017,6.10,12.75,6.05,12.15,"14,511,090"
12/30/2016,5.20,8.45,4.48,6.10,"7,327,927"
12/31/2015,4.75,6.75,4.63,5.20,"5,582,326"
12/31/2014,7.90,10.75,4.53,4.75,"5,584,336"
12/31/2013,6.90,8.10,4.20,7.90,"3,326,480"
12/31/2012,7.00,8.80,6.50,6.90,"4,357,533"
12/30/2011,9.95,10.70,4.95,7.00,"7,625,347"
