???Siam Steel International PCL (SIAM) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.38,2.82,1.30,2.02,"2,493,644"
12/31/2020,1.73,1.76,1.11,1.38,???
12/31/2019,2.10,2.68,1.64,1.73,???
12/31/2018,2.36,2.58,1.75,2.10,???
12/29/2017,2.76,3.38,2.20,2.36,"767,560"
12/30/2016,3.08,3.22,2.08,2.76,"1,330,297"
12/31/2015,2.24,4.64,2.24,3.08,"7,148,550"
12/31/2014,2.34,3.12,2.00,2.24,"1,218,259"
12/31/2013,3.10,3.26,1.95,2.34,"891,062"
12/31/2012,3.14,4.64,2.82,3.10,"2,177,731"
12/30/2011,2.88,3.48,2.32,3.14,"3,271,611"
