???Simat Technologies PLC (SIMAT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.30,6.22,3.17,5.20,"8,267,041"
12/31/2020,1.47,4.24,1.41,3.30,???
12/31/2019,1.77,1.87,1.29,1.47,???
12/31/2018,2.98,3.65,1.65,1.77,???
12/29/2017,2.61,4.02,2.36,2.98,"3,387,628"
12/30/2016,3.37,3.54,1.94,2.61,"1,062,834"
12/31/2015,4.05,7.01,3.28,3.37,"2,004,893"
12/31/2014,3.62,5.85,3.41,4.05,"1,629,047"
12/31/2013,3.82,9.69,3.32,3.62,"1,474,569"
12/31/2012,1.08,4.87,1.05,3.82,"1,535,545"
12/30/2011,1.34,1.52,0.79,1.08,"831,249"
