???Singer Thailand PCL (SINGER) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,26.00,45.00,24.60,38.50,"6,258,962"
12/31/2020,5.45,29.25,3.62,26.00,???
12/31/2019,6.04,9.55,4.60,5.45,???
12/31/2018,12.83,13.97,5.85,6.04,???
12/29/2017,10.85,15.00,9.53,12.83,"2,197,661"
12/30/2016,8.35,12.08,6.70,10.85,"1,224,582"
12/31/2015,11.98,15.38,8.16,8.35,"1,136,502"
12/31/2014,17.36,20.48,11.04,11.98,"1,116,745"
12/31/2013,17.08,27.13,16.70,17.36,"1,150,535"
12/31/2012,5.43,18.02,5.38,17.08,"2,247,032"
12/30/2011,3.40,6.37,3.17,5.43,"1,072,530"
