???Sis Distribution (Thailand) PCL (SIS) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,17.50,40.75,17.30,31.25,"4,262,159"
12/31/2020,7.55,23.20,5.10,17.50,???
12/31/2019,9.80,12.30,7.20,7.55,???
12/31/2018,8.00,10.60,7.95,9.80,???
12/29/2017,6.50,9.05,6.15,8.00,"2,011,245"
12/30/2016,4.32,6.75,4.06,6.50,"766,018"
12/31/2015,4.98,5.85,3.58,4.32,"1,527,576"
12/31/2014,4.46,7.40,4.04,4.98,"634,465"
12/31/2013,5.88,7.18,3.98,4.46,"261,203"
12/31/2012,9.62,10.25,5.04,5.88,"258,281"
12/30/2011,10.61,14.13,8.78,9.62,"169,988"
