???Sikarin PCL (SKR) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,6.50,10.20,6.30,10.20,"302,176"
12/31/2020,5.05,6.90,4.26,6.50,???
12/31/2019,3.96,5.10,3.86,5.05,???
12/31/2018,3.81,4.06,3.50,3.96,???
12/29/2017,4.00,4.20,3.57,3.81,"751,941"
12/30/2016,5.10,5.28,3.42,4.00,"404,920"
12/31/2015,5.14,5.25,4.89,5.10,"169,761"
12/31/2014,2.38,5.78,2.31,5.14,"578,324"
12/31/2013,1.67,2.47,1.54,2.38,"3,753,755"
12/31/2012,0.90,1.77,0.87,1.67,"3,961,438"
12/30/2011,0.89,1.04,0.86,0.90,"1,007,658"
