???SLM Corp PCL (SLM) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.61,0.61,0.61,0.61,"0,000"
12/31/2020,0.61,0.61,0.61,0.61,"0,000"
12/31/2019,2.19,2.19,0.48,0.61,"134,391"
12/31/2018,2.19,2.19,2.19,2.19,"0,000"
12/29/2017,2.19,2.19,2.19,2.19,"0,000"
12/30/2016,2.63,2.78,2.17,2.19,"139,694"
12/31/2015,4.30,8.13,2.40,2.63,"2,136,893"
12/31/2014,2.47,7.94,2.02,4.30,"2,067,007"
12/31/2013,3.76,4.17,2.03,2.47,"274,996"
12/31/2012,2.17,8.71,1.97,3.76,"1,195,731"
12/30/2011,1.99,4.62,1.84,2.17,"248,910"
