???Sahamit Machinery PCL (SMIT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.90,4.76,3.78,4.56,"224,197"
12/31/2020,3.76,4.02,2.78,3.90,???
12/31/2019,5.90,6.15,3.68,3.76,???
12/31/2018,5.75,6.50,5.50,5.90,???
12/29/2017,4.08,6.70,4.06,5.75,"2,395,514"
12/30/2016,4.26,4.30,2.92,4.08,"53,070"
12/31/2015,4.40,4.94,4.16,4.26,"42,704"
12/31/2014,4.70,5.15,3.88,4.40,"72,639"
12/31/2013,4.86,8.70,4.60,4.70,"1,167,709"
12/31/2012,2.86,5.00,2.86,4.86,"1,132,119"
12/30/2011,2.68,3.16,2.52,2.86,"712,921"
