???Stars Microelectronics (Thailand) PCL (SMT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.66,5.70,2.58,5.70,"13,333,662"
12/31/2020,1.17,3.32,0.58,2.66,???
12/31/2019,1.89,2.42,0.93,1.17,???
12/31/2018,2.44,3.40,1.77,1.89,???
12/29/2017,6.95,8.50,2.26,2.44,"3,955,857"
12/30/2016,4.80,7.65,4.58,6.95,"8,932,021"
12/31/2015,3.25,6.25,3.25,4.80,"7,858,824"
12/31/2014,3.75,3.90,2.80,3.25,"1,180,199"
12/31/2013,5.50,6.40,3.15,3.75,"2,869,879"
12/31/2012,4.38,6.20,3.23,5.50,"5,091,069"
12/30/2011,8.98,12.27,2.90,4.38,"11,837,852"
