???Solartron PCL (SOLAR) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.18,2.26,1.07,1.71,"11,240,260"
12/31/2020,1.54,1.58,0.58,1.18,???
12/31/2019,2.04,2.46,1.20,1.54,???
12/31/2018,1.98,3.46,1.77,2.04,???
12/29/2017,4.34,4.88,1.47,1.98,"3,607,875"
12/30/2016,9.85,10.40,2.68,4.34,"11,088,073"
12/31/2015,13.20,19.03,9.10,9.85,"4,365,752"
12/31/2014,4.87,17.05,4.24,13.20,"11,426,656"
12/31/2013,3.15,9.76,3.07,4.87,"20,833,826"
12/31/2012,1.81,3.51,1.49,3.15,"14,221,865"
12/30/2011,2.96,3.33,1.66,1.81,"2,909,919"
