???S Khonkaen Foods PCL (SORKON) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,5.75,5.80,4.66,4.72,"326,242"
12/31/2020,5.05,5.95,4.10,5.75,???
12/31/2019,6.83,7.20,4.95,5.05,???
12/31/2018,8.18,8.30,6.25,6.83,???
12/29/2017,6.13,8.78,6.00,8.18,"106,340"
12/30/2016,6.42,6.83,4.97,6.13,"158,477"
12/31/2015,6.01,6.79,5.46,6.42,"86,100"
12/31/2014,5.56,7.00,4.66,6.01,"174,695"
12/31/2013,5.42,6.85,4.78,5.56,"497,099"
12/31/2012,2.19,7.10,1.91,5.42,"5,031,077"
12/30/2011,1.47,2.38,1.47,2.19,"352,222"
