???S. Pack & Print PCL (SPACK) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.44,3.60,2.44,3.10,"3,288,681"
12/31/2020,1.12,3.58,0.70,2.44,???
12/31/2019,1.64,2.00,1.01,1.12,???
12/31/2018,2.36,2.58,1.62,1.64,???
12/29/2017,2.74,3.38,2.16,2.36,"2,033,058"
12/30/2016,2.16,3.20,1.89,2.74,"942,453"
12/31/2015,2.20,4.12,2.00,2.16,"1,660,242"
12/31/2014,2.22,2.84,2.00,2.20,"57,298"
12/31/2013,3.80,3.98,2.18,2.22,"43,994"
12/31/2012,3.12,4.04,3.12,3.80,"454,908"
12/30/2011,4.06,4.16,2.92,3.12,"247,052"
