???Supalai PCL (SPALI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,20.50,22.70,19.00,21.40,"8,350,416"
12/31/2020,17.90,22.10,13.10,20.50,???
12/31/2019,18.20,24.70,15.80,17.90,???
12/31/2018,23.70,26.00,17.30,18.20,???
12/29/2017,25.00,27.75,22.70,23.70,"6,557,642"
12/30/2016,18.20,26.00,17.00,25.00,"5,197,635"
12/31/2015,24.10,25.25,15.00,18.20,"6,850,529"
12/31/2014,14.60,28.00,13.40,24.10,"6,652,977"
12/31/2013,17.70,24.00,11.30,14.60,"5,744,390"
12/31/2012,14.30,20.20,13.50,17.70,"4,771,336"
12/30/2011,10.50,15.00,9.00,14.30,"8,708,939"
