???SPCG PCL (SPCG) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,20.10,21.00,18.60,19.00,"2,028,276"
12/31/2020,19.60,22.30,12.00,20.10,???
12/31/2019,18.10,22.70,17.20,19.60,???
12/31/2018,21.90,25.50,17.60,18.10,???
12/29/2017,21.40,25.50,19.90,21.90,"2,368,465"
12/30/2016,21.40,23.00,18.70,21.40,"1,490,906"
12/31/2015,27.00,30.50,19.00,21.40,"1,216,868"
12/31/2014,19.00,31.25,16.40,27.00,"4,173,731"
12/31/2013,17.90,36.50,17.20,19.00,"4,033,145"
12/31/2012,9.93,18.70,9.33,17.90,"3,522,595"
12/30/2011,12.13,18.83,9.00,9.93,"357,152"
