???Siam Pan Group PCL (SPG) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,16.60,22.60,16.20,18.30,"17,847"
12/31/2020,13.30,18.00,11.60,16.60,???
12/31/2019,13.80,16.40,12.10,13.30,???
12/31/2018,17.80,19.90,12.70,13.80,"3,446"
12/29/2017,19.00,24.30,17.10,17.80,"5,500"
12/30/2016,20.20,26.25,16.00,19.00,"1,771"
12/31/2015,31.75,37.50,18.70,20.20,"1,121"
12/31/2014,18.80,54.25,13.30,31.75,"5,024"
12/31/2013,12.90,23.40,12.80,18.80,"11,204"
12/31/2012,8.60,16.00,8.50,12.90,"6,031"
12/30/2011,8.70,11.30,8.20,8.60,"12,867"
