???Sermsuk PCL (SSC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,34.25,44.00,29.00,33.25,"2,155"
12/31/2020,32.25,44.75,24.00,34.25,"1,959"
12/31/2019,33.50,41.25,31.00,32.25,???
12/31/2018,55.50,75.00,32.75,33.50,???
12/29/2017,54.25,58.50,49.00,55.50,"1,934"
12/30/2016,51.25,82.25,40.00,54.25,"2,309"
12/31/2015,81.00,85.00,48.00,51.25,"0,974"
12/31/2014,88.00,122.00,74.00,81.00,"4,310"
12/31/2013,196.00,255.00,72.50,88.00,"6,465"
12/31/2012,54.00,300.00,48.00,196.00,"27,460"
12/30/2011,46.75,63.00,41.00,54.00,"160,008"
