???Surapon Foods PCL (SSF) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,7.00,9.35,6.35,8.70,"19,879"
12/31/2020,6.20,8.35,4.20,7.00,???
12/31/2019,7.00,9.00,5.80,6.20,"2,106"
12/31/2018,9.40,10.40,5.75,7.00,"10,109"
12/29/2017,9.40,13.50,9.20,9.40,"58,921"
12/30/2016,9.00,9.55,7.90,9.40,"18,865"
12/31/2015,8.70,10.60,7.80,9.00,"12,558"
12/31/2014,8.10,10.90,8.00,8.70,"30,768"
12/31/2013,13.90,14.20,7.95,8.10,"80,368"
12/31/2012,8.35,19.40,8.20,13.90,"268,486"
12/30/2011,6.10,8.45,4.06,8.35,"65,281"
