???Siam Steel Service Center PCL (SSSC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.34,3.68,2.22,2.94,"398,296"
12/31/2020,2.06,2.38,1.43,2.34,???
12/31/2019,2.72,2.94,1.97,2.06,???
12/31/2018,3.82,3.96,2.62,2.72,???
12/29/2017,3.95,4.96,3.72,3.82,"1,122,907"
12/30/2016,3.28,4.00,3.23,3.95,"82,450"
12/31/2015,4.50,4.85,3.20,3.28,"158,111"
12/31/2014,5.18,5.48,4.35,4.50,"350,546"
12/31/2013,5.18,6.30,4.18,5.18,"593,218"
12/31/2012,3.23,5.28,3.18,5.18,"653,603"
12/30/2011,3.25,3.83,2.75,3.23,"276,581"
