???Star Universal Network PCL (STAR) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.12,3.70,1.64,3.08,"94,304"
12/31/2020,3.96,4.42,1.48,2.12,???
12/31/2019,4.60,5.00,1.32,3.96,???
12/31/2018,7.70,9.75,3.90,4.60,???
12/29/2017,4.06,8.90,3.60,7.70,"3,518,605"
12/30/2016,5.92,7.22,2.94,4.06,"810,478"
12/31/2015,2.40,7.69,2.16,5.92,"2,164,060"
12/31/2014,2.84,3.20,1.62,2.40,"3,328,557"
12/31/2013,0.97,4.84,0.97,2.84,"3,489,793"
12/31/2012,0.89,1.15,0.82,0.97,"1,212,608"
12/30/2011,1.10,1.19,0.80,0.89,"465,118"
