???Sino-Thai Engineering and Construction PCL (STEC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,12.70,16.30,11.40,15.10,"17,744,077"
12/31/2020,14.20,17.10,9.70,12.70,???
12/31/2019,20.40,27.75,13.40,14.20,???
12/31/2018,23.40,27.00,17.10,20.40,???
12/29/2017,27.75,29.00,22.60,23.40,"8,006,483"
12/30/2016,24.90,29.00,17.50,27.75,"7,940,951"
12/31/2015,23.30,26.75,19.50,24.90,"8,085,747"
12/31/2014,13.20,28.00,11.80,23.30,"18,034,693"
12/31/2013,21.19,34.75,13.10,13.20,"11,522,745"
12/31/2012,9.57,21.19,9.57,21.19,"5,683,875"
12/30/2011,10.58,11.67,6.57,9.57,"9,565,144"
