???Shun Thai Rubber Gloves Industry PCL (STHAI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.10,0.10,0.10,0.10,"0,000"
12/31/2020,0.10,0.10,0.10,0.10,"0,000"
12/31/2019,0.59,0.59,0.10,0.10,"1,862,938"
12/31/2018,0.59,0.59,0.59,0.59,"0,000"
12/29/2017,0.59,0.59,0.59,0.59,"0,000"
12/30/2016,0.59,0.59,0.59,0.59,"0,000"
12/31/2015,0.59,0.59,0.59,0.59,"0,000"
12/31/2014,0.59,0.59,0.59,0.59,"0,000"
12/31/2013,0.61,0.74,0.56,0.59,"47,879"
12/31/2012,0.73,0.84,0.58,0.61,"246,109"
12/30/2011,0.89,0.94,0.45,0.73,"61,350"
