???STP&I PCL (STPI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.56,4.90,3.46,4.70,"6,823,013"
12/31/2020,6.75,7.15,2.30,3.56,???
12/31/2019,4.06,10.10,4.00,6.75,???
12/31/2018,5.45,6.40,3.84,4.06,???
12/29/2017,11.10,11.50,4.84,5.45,"4,883,565"
12/30/2016,9.45,13.40,7.00,11.10,"12,942,771"
12/31/2015,17.45,18.82,8.80,9.45,"4,711,459"
12/31/2014,14.27,21.18,12.27,17.45,"5,472,094"
12/31/2013,14.26,23.18,13.91,14.27,"2,978,564"
12/31/2012,6.53,14.66,5.41,14.26,"9,493,020"
12/30/2011,6.19,6.87,4.05,6.53,"4,940,498"
