???Super Energy Corp Public Co Ltd (SUPER) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.96,1.08,0.88,0.99,"307,589,357"
12/31/2020,0.56,1.10,0.28,0.96,???
12/31/2019,0.53,0.80,0.52,0.56,???
12/31/2018,1.17,1.52,0.51,0.53,???
12/29/2017,1.52,1.77,1.15,1.17,"175,726,704"
12/30/2016,1.18,2.08,1.00,1.52,"178,950,444"
12/31/2015,1.64,2.45,0.93,1.18,"120,952,343"
12/31/2014,0.27,2.24,0.19,1.64,"218,396,253"
12/31/2013,0.12,0.34,0.08,0.27,"541,540,810"
12/31/2012,0.05,0.17,0.05,0.12,"406,314,063"
12/30/2011,0.06,0.11,0.04,0.05,"129,931,709"
