???Susco PCL (SUSCO) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.92,3.50,2.80,3.28,"2,208,888"
12/31/2020,2.80,3.10,1.50,2.92,???
12/31/2019,2.42,3.36,2.34,2.80,???
12/31/2018,3.72,4.10,2.26,2.42,???
12/29/2017,3.34,4.68,3.14,3.72,"10,702,630"
12/30/2016,2.80,3.72,2.46,3.34,"5,341,216"
12/31/2015,3.78,4.22,2.46,2.80,"4,070,224"
12/31/2014,3.10,4.98,2.76,3.78,"15,574,322"
12/31/2013,3.30,7.40,2.66,3.10,"48,846,707"
12/31/2012,1.17,3.84,1.17,3.30,"38,799,081"
12/30/2011,0.77,1.64,0.75,1.17,"38,000,411"
