???Samitivej PLC (SVH) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,400.00,426.00,391.00,408.00,"1,044"
12/31/2020,448.00,452.00,375.00,400.00,???
12/31/2019,440.00,470.00,418.00,448.00,???
12/31/2018,430.00,480.00,398.00,440.00,???
12/29/2017,360.00,446.00,339.00,430.00,"1,437"
12/30/2016,299.00,404.00,292.00,360.00,"2,247"
12/31/2015,302.00,338.00,292.00,299.00,"1,538"
12/31/2014,191.00,336.00,174.00,302.00,"2,285"
12/31/2013,227.00,268.00,189.00,191.00,"3,173"
12/31/2012,155.50,253.00,154.00,227.00,"1,990"
12/30/2011,99.00,170.00,80.50,155.50,"2,117"
