???SVI PCL (SVI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,4.28,6.15,4.18,5.00,"11,957,988"
12/31/2020,3.60,5.75,1.80,4.28,???
12/31/2019,4.88,6.05,3.24,3.60,???
12/31/2018,4.20,6.20,4.04,4.88,???
12/29/2017,5.10,6.50,3.98,4.20,"8,766,585"
12/30/2016,4.88,6.05,4.22,5.10,"8,265,432"
12/31/2015,4.00,5.65,3.98,4.88,"13,390,085"
12/31/2014,4.14,6.40,3.72,4.00,"20,887,016"
12/31/2013,3.61,4.90,2.88,4.14,"7,644,266"
12/31/2012,2.80,3.71,2.80,3.61,"8,651,100"
12/30/2011,2.99,4.81,2.45,2.80,"33,550,706"
