???SVOA PCL (SVOA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.18,3.02,1.17,2.40,"19,019,204"
12/31/2020,0.99,1.59,0.55,1.18,???
12/31/2019,1.20,1.35,0.97,0.99,???
12/31/2018,1.97,2.26,1.16,1.20,???
12/29/2017,1.41,2.50,1.25,1.97,"13,041,795"
12/30/2016,1.46,1.53,1.01,1.41,"2,351,569"
12/31/2015,1.69,1.92,1.35,1.46,"8,259,274"
12/31/2014,1.18,2.10,1.03,1.69,"13,750,626"
12/31/2013,1.15,3.30,1.08,1.18,"16,746,249"
12/31/2012,1.19,1.39,1.07,1.15,"3,887,547"
12/30/2011,1.33,1.55,1.02,1.19,"3,269,840"
