???Symphony Communication PCL (SYMC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,4.30,6.70,4.28,5.50,"81,091"
12/31/2020,3.00,5.10,1.43,4.30,???
12/31/2019,4.90,5.30,2.82,3.00,???
12/31/2018,9.40,9.40,4.30,4.90,???
12/29/2017,8.19,13.20,7.94,9.40,"355,996"
12/30/2016,8.20,10.03,6.85,8.19,"152,753"
12/31/2015,12.83,15.12,7.88,8.20,"220,904"
12/31/2014,12.46,18.60,11.64,12.83,"412,359"
12/31/2013,21.17,21.35,10.72,12.46,"635,653"
12/31/2012,9.07,21.90,9.07,21.17,"1,634,535"
12/30/2011,8.34,12.46,7.61,9.07,"2,663,754"
