???Synnex (Thailand) PCL (SYNEX) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,15.00,31.25,14.60,24.90,"8,996,198"
12/31/2020,7.50,17.50,3.60,15.00,???
12/31/2019,10.36,12.82,6.30,7.50,???
12/31/2018,14.09,15.09,9.82,10.36,???
12/29/2017,6.50,15.36,6.14,14.09,"6,492,155"
12/30/2016,4.07,6.82,3.65,6.50,"2,834,932"
12/31/2015,2.56,5.05,2.53,4.07,"5,448,510"
12/31/2014,2.76,3.15,2.42,2.56,"798,861"
12/31/2013,4.63,5.17,2.69,2.76,"802,138"
12/31/2012,4.26,5.25,3.77,4.63,"636,204"
12/30/2011,3.26,5.58,3.11,4.26,"1,160,465"
