???Syntec Construction PCL (SYNTEC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.46,2.46,1.40,2.26,"16,469,857"
12/31/2020,1.88,2.20,0.88,1.46,???
12/31/2019,2.72,3.04,1.62,1.88,???
12/31/2018,5.55,5.95,2.64,2.72,???
12/29/2017,5.20,6.45,4.34,5.55,"7,751,815"
12/30/2016,2.88,5.20,2.74,5.20,"12,180,941"
12/31/2015,2.68,3.62,2.56,2.88,"9,623,489"
12/31/2014,1.09,3.26,1.00,2.68,"33,429,964"
12/31/2013,1.04,2.44,0.93,1.09,"31,696,243"
12/31/2012,0.79,1.14,0.72,1.04,"19,756,846"
12/30/2011,1.11,1.34,0.64,0.79,"8,352,526"
