???Tapaco PCL (TAPAC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.68,5.45,2.08,4.98,"2,842,077"
12/31/2020,6.35,7.40,2.50,2.68,???
12/31/2019,5.50,8.15,5.35,6.35,???
12/31/2018,15.60,16.10,5.00,5.50,???
12/29/2017,22.07,36.25,13.30,15.60,"1,528,211"
12/30/2016,13.71,23.72,8.08,22.07,"1,403,480"
12/31/2015,1.82,14.43,1.80,13.71,"2,605,299"
12/31/2014,1.26,2.04,1.21,1.82,"1,039,934"
12/31/2013,2.41,2.68,1.21,1.26,"782,643"
12/31/2012,1.80,2.99,1.75,2.41,"635,839"
12/30/2011,2.12,2.23,1.46,1.80,"424,702"
