???TBSP PCL (TBSP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,12.50,15.30,8.95,11.80,"1,085"
12/31/2020,13.90,16.50,9.05,12.50,???
12/31/2019,15.50,17.60,12.00,13.90,???
12/31/2018,15.60,18.00,12.40,15.50,"2,609"
12/29/2017,15.60,18.00,10.95,15.60,"3,732"
12/30/2016,13.80,20.10,13.30,15.60,"1,279"
12/31/2015,18.55,25.00,13.15,13.80,"2,069"
12/31/2014,15.00,25.30,15.00,18.55,"1,508"
12/31/2013,14.95,20.40,13.05,15.00,"1,866"
12/31/2012,7.50,15.00,7.23,14.95,"2,076"
12/30/2011,8.60,9.38,6.00,7.50,"3,057"
