???Thanachart Capital PCL (TCAP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,34.50,39.00,31.50,35.25,"7,837,712"
12/31/2020,53.50,57.00,26.00,34.50,???
12/31/2019,49.75,59.50,49.50,53.50,???
12/31/2018,56.25,60.25,46.25,49.75,???
12/29/2017,44.00,58.00,43.75,56.25,"3,830,581"
12/30/2016,36.50,44.75,33.00,44.00,"4,326,313"
12/31/2015,31.75,37.00,28.25,36.50,"3,244,853"
12/31/2014,32.25,38.75,30.00,31.75,"2,688,161"
12/31/2013,37.75,50.25,29.75,32.25,"7,408,552"
12/31/2012,26.75,41.75,24.60,37.75,"9,059,366"
12/30/2011,36.50,38.00,23.50,26.75,"6,056,227"
