???Thai Capital Corp PCL (TCC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.23,0.55,0.22,0.47,"13,316,924"
12/31/2020,0.23,0.26,0.12,0.23,???
12/31/2019,0.41,0.45,0.21,0.23,???
12/31/2018,0.57,1.15,0.33,0.41,???
12/29/2017,0.99,1.09,0.53,0.57,"5,199,566"
12/30/2016,1.50,1.53,0.78,0.99,"8,603,562"
12/31/2015,1.87,2.46,1.48,1.50,"5,955,110"
12/31/2014,0.97,2.48,0.87,1.87,"17,094,644"
12/31/2013,2.48,2.56,0.97,0.97,"9,472,897"
12/31/2012,3.06,3.32,2.08,2.48,"7,743,367"
12/30/2011,3.30,4.06,1.99,3.06,"8,332,413"
