???T.C.J. Asia PCL (TCJ) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.28,6.25,3.00,5.00,"599,158"
12/31/2020,3.70,3.74,1.80,3.28,???
12/31/2019,5.10,5.50,3.50,3.70,???
12/31/2018,10.29,11.27,4.20,5.10,"194,351"
12/29/2017,8.92,11.76,7.50,10.29,"1,203,018"
12/30/2016,9.46,11.18,6.86,8.92,"405,277"
12/31/2015,10.90,13.49,8.92,9.46,"273,362"
12/31/2014,11.29,15.88,9.37,10.90,"658,944"
12/31/2013,11.16,19.42,10.90,11.29,"1,148,646"
12/31/2012,6.28,12.66,6.24,11.16,"786,634"
12/30/2011,10.76,11.42,4.03,6.28,"635,146"
