???TCM Corp PCL (TCMC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.69,2.36,1.50,2.18,"13,122,997"
12/31/2020,2.04,2.04,0.61,1.69,???
12/31/2019,1.66,3.36,1.46,2.04,???
12/31/2018,3.46,3.96,1.50,1.66,???
12/29/2017,3.79,4.24,2.80,3.46,"8,384,350"
12/30/2016,3.01,4.58,2.64,3.79,"9,262,261"
12/31/2015,2.69,4.01,2.48,3.01,"6,622,956"
12/31/2014,2.59,3.59,1.85,2.69,"7,227,786"
12/31/2013,1.66,5.59,1.59,2.59,"10,221,775"
12/31/2012,0.89,1.90,0.72,1.66,"8,177,127"
12/30/2011,1.11,1.21,0.70,0.89,"857,702"
