???Thai Coating Industrial PCL (TCOAT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,26.00,30.00,24.30,28.75,"1,483"
12/31/2020,27.00,31.50,19.70,26.00,"0,242"
12/31/2019,28.50,35.50,24.00,27.00,"0,404"
12/31/2018,28.00,32.25,24.50,28.50,"0,286"
12/29/2017,34.75,38.75,23.30,28.00,"2,054"
12/30/2016,19.20,40.00,18.50,34.75,"5,087"
12/31/2015,22.40,29.00,16.00,19.20,"3,429"
12/31/2014,20.00,32.25,14.70,22.40,"3,031"
12/31/2013,17.50,26.25,14.50,20.00,"9,994"
12/31/2012,19.90,21.80,14.20,17.50,"10,984"
12/30/2011,19.50,24.00,14.30,19.90,"4,995"
