???Thai Film Industries PCL (TFI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.19,0.37,0.13,0.29,"25,306,968"
12/31/2020,0.03,0.24,0.01,0.19,???
12/31/2019,0.10,0.15,0.02,0.03,???
12/31/2018,0.24,0.28,0.07,0.10,???
12/29/2017,0.48,0.59,0.22,0.24,"5,608,356"
12/30/2016,0.41,0.53,0.32,0.48,"5,175,478"
12/31/2015,0.55,0.89,0.39,0.41,"9,308,559"
12/31/2014,0.44,0.84,0.36,0.55,"29,930,178"
12/31/2013,0.78,0.85,0.36,0.44,"15,946,161"
12/31/2012,0.53,0.99,0.45,0.78,"11,998,637"
12/30/2011,1.09,1.13,0.41,0.53,"12,395,552"
