???Thai President Foods PCL (TFMAMA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,192.50,196.00,190.50,191.00,"17,513"
12/31/2020,183.00,208.00,169.50,192.50,???
12/31/2019,160.00,185.50,151.00,183.00,???
12/31/2018,190.00,205.00,149.00,160.00,???
12/29/2017,192.00,270.00,179.50,190.00,"5,332"
12/30/2016,157.00,206.00,152.00,192.00,"2,321"
12/31/2015,168.00,187.00,150.00,157.00,"2,356"
12/31/2014,170.00,219.00,156.00,168.00,"2,288"
12/31/2013,184.00,197.00,154.00,170.00,"4,124"
12/31/2012,129.50,198.00,127.00,184.00,"5,677"
12/30/2011,104.00,158.00,94.60,129.50,"12,811"
