???Thai-German Products PCL (TGPRO) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.08,0.49,0.08,0.37,"82,993,935"
12/31/2020,0.07,0.10,0.03,0.08,???
12/31/2019,0.12,0.17,0.05,0.07,???
12/31/2018,0.33,0.35,0.11,0.12,???
12/29/2017,0.63,0.68,0.27,0.33,"6,377,860"
12/30/2016,0.52,0.72,0.37,0.63,"18,577,592"
12/31/2015,1.22,1.37,0.50,0.52,"11,101,784"
12/31/2014,1.11,1.65,0.87,1.22,"31,875,521"
12/31/2013,1.19,2.76,0.99,1.11,"50,310,235"
12/31/2012,0.40,1.41,0.38,1.19,"73,592,947"
12/30/2011,0.40,1.25,0.26,0.40,"25,486,621"
