???Thanasiri Group PCL (THANA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.88,2.04,0.81,1.51,"856,548"
12/31/2020,1.21,1.49,0.62,0.88,???
12/31/2019,1.97,2.38,1.17,1.21,???
12/31/2018,2.30,2.94,1.89,1.97,???
12/29/2017,1.74,4.10,1.23,2.30,"8,778,111"
12/30/2016,1.80,2.48,1.42,1.74,"293,069"
12/31/2015,3.08,4.92,1.76,1.80,"1,569,046"
12/31/2014,1.98,5.10,1.40,3.08,"3,122,106"
12/31/2013,1.70,2.70,1.45,1.98,"263,919"
12/31/2012,1.79,2.10,1.12,1.70,"146,749"
12/30/2011,2.24,2.82,1.70,1.79,"237,648"
