???Thai Reinsurance PCL (THRE) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.28,1.85,1.26,1.42,"35,080,015"
12/31/2020,0.65,1.49,0.30,1.28,???
12/31/2019,0.87,0.93,0.53,0.65,???
12/31/2018,1.78,1.89,0.85,0.87,???
12/29/2017,2.10,2.20,1.70,1.78,"3,363,366"
12/30/2016,2.76,2.90,1.40,2.10,"2,536,253"
12/31/2015,3.14,3.52,2.58,2.76,"2,830,600"
12/31/2014,3.75,3.84,2.88,3.14,"6,008,019"
12/31/2013,4.91,7.24,3.47,3.75,"11,779,859"
12/31/2012,3.12,5.03,2.74,4.91,"15,802,949"
12/30/2011,5.80,6.44,3.12,3.12,"694,044"
