???Thaire Life Assurance PCL (THREL) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.16,4.34,3.08,3.60,"3,556,862"
12/31/2020,3.62,3.74,2.02,3.16,???
12/31/2019,6.45,7.00,3.44,3.62,???
12/31/2018,11.00,13.30,6.35,6.45,???
12/29/2017,9.65,11.80,7.85,11.00,"1,696,228"
12/30/2016,11.20,11.40,8.85,9.65,"1,123,857"
12/31/2015,13.90,14.90,10.50,11.20,"1,049,697"
12/31/2014,14.00,18.20,12.10,13.90,"2,738,987"
12/31/2013,11.40,15.90,9.05,14.00,"10,590,985"
10/09/2013,11.40,12.10,9.90,9.90,"312,646,200"
