???Tipco Foods (Thailand) PLC (TIPCO) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,7.15,11.50,7.05,9.30,"5,942,610"
12/31/2020,7.65,8.65,4.04,7.15,???
12/31/2019,7.35,12.80,7.20,7.65,???
12/31/2018,15.60,16.30,7.15,7.35,???
12/29/2017,13.80,18.70,13.80,15.60,"5,916,952"
12/30/2016,17.90,20.50,10.00,13.80,"9,747,055"
12/31/2015,6.40,24.40,6.30,17.90,"17,755,296"
12/31/2014,7.10,8.75,5.65,6.40,"2,882,171"
12/31/2013,5.45,16.80,5.45,7.10,"20,531,263"
12/31/2012,3.76,9.85,3.72,5.45,"8,092,594"
12/30/2011,4.22,4.48,2.94,3.76,"670,572"
