???Thitikorn PCL (TK) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,8.00,11.60,7.65,9.95,"868,489"
12/31/2020,10.00,10.20,6.35,8.00,???
12/31/2019,8.50,11.30,8.15,10.00,???
12/31/2018,15.70,18.90,7.80,8.50,???
12/29/2017,10.90,17.70,10.20,15.70,"849,561"
12/30/2016,9.95,12.50,9.20,10.90,"695,488"
12/31/2015,9.05,13.40,8.65,9.95,"719,818"
12/31/2014,9.00,11.50,8.20,9.05,"340,765"
12/31/2013,16.50,21.50,8.00,9.00,"950,230"
12/31/2012,9.65,17.50,9.65,16.50,"918,053"
12/30/2011,8.25,12.70,7.70,9.65,"981,455"
