???T ks Technologies PCL (TKS) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,6.10,11.40,5.90,10.20,"6,008,389"
12/31/2020,6.45,6.55,3.46,6.10,???
12/31/2019,7.27,9.05,6.20,6.45,???
12/31/2018,9.75,11.18,6.95,7.27,???
12/29/2017,7.73,15.29,7.69,9.75,"4,394,388"
12/30/2016,6.93,8.00,6.44,7.73,"686,144"
12/31/2015,6.99,8.54,6.75,6.93,"719,309"
12/31/2014,4.51,10.32,4.03,6.99,"1,585,649"
12/31/2013,4.16,6.13,3.81,4.51,"1,708,502"
12/31/2012,3.76,4.93,3.73,4.16,"1,484,845"
12/30/2011,2.83,4.80,2.55,3.76,"2,362,435"
