???T.Krungthai Industries PCL (TKT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.90,1.73,0.89,1.53,"1,550,473"
12/31/2020,0.98,1.20,0.56,0.90,???
12/31/2019,1.27,1.88,0.89,0.98,???
12/31/2018,1.85,2.02,1.25,1.27,???
12/29/2017,2.30,2.58,1.85,1.85,"2,752,914"
12/30/2016,2.00,2.82,1.27,2.30,"1,214,480"
12/31/2015,2.26,4.10,1.95,2.00,"2,667,332"
12/31/2014,2.20,3.14,1.98,2.26,"314,486"
12/31/2013,4.08,4.54,2.08,2.20,"317,247"
12/31/2012,1.80,5.05,1.28,4.08,"3,345,934"
12/30/2011,2.04,2.12,1.26,1.80,"73,234"
