???T M C Industrial PLC (TMC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.71,1.31,0.68,1.04,"799,938"
12/31/2020,0.49,0.74,0.25,0.71,???
12/31/2019,0.78,0.94,0.47,0.49,???
12/31/2018,1.50,1.62,0.75,0.78,???
12/29/2017,1.94,2.08,1.49,1.50,"897,443"
12/30/2016,1.86,4.04,1.20,1.94,"4,036,671"
12/31/2015,3.34,3.76,1.75,1.86,"1,694,369"
12/31/2014,3.78,4.05,2.95,3.34,"254,627"
12/31/2013,7.27,8.29,3.68,3.78,"1,142,150"
12/31/2012,10.66,10.76,6.79,7.27,"10,592,409"
10/26/2012,10.66,10.76,7.85,7.85,"203,232,301"
