???TMT Steel Public Co Ltd (TMT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,7.20,15.00,6.70,11.60,"2,448,114"
12/31/2020,3.98,7.30,3.00,7.20,???
12/31/2019,6.55,7.05,3.88,3.98,???
12/31/2018,8.20,8.85,6.40,6.55,???
12/29/2017,8.00,9.45,6.90,8.20,"1,502,417"
12/30/2016,4.28,8.45,4.18,8.00,"1,304,500"
12/31/2015,4.95,5.45,4.15,4.28,"374,141"
12/31/2014,5.50,5.90,4.73,4.95,"397,694"
12/31/2013,4.43,8.40,4.40,5.50,"1,034,023"
12/31/2012,2.58,4.48,2.50,4.43,"817,884"
12/30/2011,3.03,3.40,2.44,2.58,"594,970"
