???Thai Mitsuwa PCL (TMW) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,35.50,40.00,32.25,37.00,"18,457"
12/31/2020,38.25,43.00,28.25,35.50,???
12/31/2019,65.75,69.75,37.00,38.25,???
12/31/2018,57.00,72.75,56.50,65.75,???
12/29/2017,30.25,67.75,30.00,57.00,"122,460"
12/30/2016,24.90,31.75,24.30,30.25,"21,347"
12/31/2015,27.00,33.00,23.70,24.90,"21,386"
12/31/2014,25.00,35.50,23.70,27.00,"55,494"
12/31/2013,44.25,72.00,24.50,25.00,"219,844"
12/31/2012,13.40,69.50,12.00,44.25,"441,606"
12/30/2011,13.30,16.50,11.20,13.40,"17,398"
