???Thanulux PCL (TNL) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,17.10,22.00,15.00,16.50,"1,469"
12/31/2020,19.00,21.10,15.00,17.10,???
12/31/2019,18.80,24.40,18.20,19.00,"1,830"
12/31/2018,22.00,22.00,14.50,18.80,"1,965"
12/29/2017,24.00,24.80,19.90,22.00,"2,253"
12/30/2016,25.00,25.00,22.20,24.00,"0,663"
12/31/2015,28.00,28.00,23.00,25.00,"0,868"
12/31/2014,28.00,30.00,24.20,28.00,"1,282"
12/31/2013,25.00,35.75,23.10,28.00,"2,243"
12/31/2012,19.10,30.25,18.00,25.00,"1,749"
12/30/2011,18.40,21.40,15.10,19.10,"4,309"
