???Thai Oil PCL (TOP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,52.00,66.00,50.50,58.50,"11,321,799"
12/31/2020,69.75,73.50,25.25,52.00,???
12/31/2019,66.25,76.25,58.50,69.75,???
12/31/2018,103.50,108.00,65.00,66.25,???
12/29/2017,72.25,110.00,68.75,103.50,"5,255,301"
12/30/2016,65.00,75.00,55.50,72.25,"6,170,131"
12/31/2015,42.00,66.00,41.75,65.00,"5,612,390"
12/31/2014,56.25,56.25,41.00,42.00,"3,714,748"
12/31/2013,67.50,76.50,54.00,56.25,"5,873,111"
12/31/2012,58.50,77.00,53.00,67.50,"8,476,567"
12/30/2011,80.00,87.25,46.75,58.50,"13,303,509"
