???Thai O PP PCL (TOPP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,189.00,221.00,188.00,220.00,"0,105"
12/31/2020,180.00,232.00,148.00,189.00,???
12/31/2019,196.00,252.00,129.00,180.00,???
12/31/2018,225.00,237.00,196.00,196.00,"0,100"
12/29/2017,162.00,254.00,162.00,225.00,"0,143"
12/30/2016,149.50,189.00,119.00,162.00,"0,115"
12/31/2015,145.50,151.00,135.00,149.50,"0,284"
12/31/2014,119.00,146.00,110.00,145.50,"0,255"
12/31/2013,110.00,155.00,108.00,119.00,"0,282"
12/31/2012,80.00,115.00,77.00,110.00,"0,467"
12/30/2011,83.00,88.00,54.25,80.00,"0,577"
